Municipio	Afiliación	Candidatura	Candidato
Arecibo	Partido Independentista Puertorriqueño	Legislador	Carlos Mario García Berríos
Arecibo	Partido Independentista Puertorriqueño	Legislador	Juan Ignacio Mercado Puig
Arecibo	Partido Independentista Puertorriqueño	Legislador	Arturo Acosta Ayala
Arecibo	Partido Independentista Puertorriqueño	Legislador	Luis F. Mercado Méndez
Arecibo	Partido Independentista Puertorriqueño	Legislador	Pedro R. Cruz Gínes
Arecibo	Partido Independentista Puertorriqueño	Legislador	Carmen Delia Rodríguez Rodríguez
Arecibo	Partido Independentista Puertorriqueño	Legislador	Ramón Luis Ruiz González
Arecibo	Movimiento Victoria Ciudadana	Legislador	Daksha Montalvo Martínez
Arroyo	Partido Nuevo Progresista	Alcalde	Roberto Cora López
Arroyo	Partido Nuevo Progresista	Legislador	Alejandro Figueroa Figueroa
Arroyo	Partido Nuevo Progresista	Legislador	Graciela Virella Sanabria
Arroyo	Partido Nuevo Progresista	Legislador	Sergio Ruiz Sánchez
Arroyo	Partido Nuevo Progresista	Legislador	Eva lvania Rivera Torres
Arroyo	Partido Nuevo Progresista	Legislador	Ricardo Rivera Amill
Arroyo	Partido Nuevo Progresista	Legislador	María | Rodríguez Valentín
Arroyo	Partido Nuevo Progresista	Legislador	Eduardo Sánchez Gracia
Arroyo	Partido Nuevo Progresista	Legislador	Ahisar Atiles Reyes
Arroyo	Partido Nuevo Progresista	Legislador	Jomary Rodríguez Carrasquillo
Arroyo	Partido Popular Democrático	Alcalde	Eric Enrique Bachier Román
Arroyo	Partido Popular Democrático	Legislador	José Alberto Bilbraut Montañez
Arroyo	Partido Popular Democrático	Legislador	Américo Guzmán Caraballo
Arroyo	Partido Popular Democrático	Legislador	Norka |. Hernández Quirindongo
Arroyo	Partido Popular Democrático	Legislador	Ángel Luis Ramos González
Arroyo	Partido Popular Democrático	Legislador	José Albelto Díaz Peña
Arroyo	Partido Popular Democrático	Legislador	Víctor Juan Bilbraut Cora
Arroyo	Partido Popular Democrático	Legislador	Marianne M. Guadalupe Bones
Arroyo	Partido Popular Democrático	Legislador	Jacqueline Torres Peña
Arroyo	Partido Popular Democrático	Legislador	Félix José Ramos Ocasio
Arroyo	Partido Independentista Puertorriqueño	Alcalde	Miguel (Papún) Sánchez Clavell
Arroyo	Partido Independentista Puertorriqueño	Legislador	Omar Enrique Rodríguez Cintrón
Arroyo	Partido Independentista Puertorriqueño	Legislador	Noemí Cotto Morales
Arroyo	Partido Independentista Puertorriqueño	Legislador	Juan M. Santiago Rivera
Arroyo	Partido Independentista Puertorriqueño	Legislador	Jacob Soto López
Arroyo	Partido Independentista Puertorriqueño	Legislador	Tomás O. Rodríguez Acosta
Arroyo	Partido Independentista Puertorriqueño	Legislador	Carmen María De Jesús Figueroa
Arroyo	Partido Independentista Puertorriqueño	Legislador	Francis Carrasquillo Sáez
Arroyo	Partido Independentista Puertorriqueño	Legislador	Anselmo Mariani Ramos
Arroyo	Partido Independentista Puertorriqueño	Legislador	Edwin Antonio Colón Aguirre
Añasco	Partido Nuevo Progresista	Alcalde	Kabir Solares
Añasco	Partido Nuevo Progresista	Legislador	Francisco Ruiz Morales
Añasco	Partido Nuevo Progresista	Legislador	Raúl Ramón Morales Santiago
Añasco	Partido Nuevo Progresista	Legislador	Lilliam Ojeda Adrian
Añasco	Partido Nuevo Progresista	Legislador	Wilson Crespo Valentín
Añasco	Partido Nuevo Progresista	Legislador	Pablo Rivera Reyes
Añasco	Partido Nuevo Progresista	Legislador	Fernando Andrés Ruiz Vázquez
Añasco	Partido Nuevo Progresista	Legislador	Jannette Rosado Carrero
Añasco	Partido Nuevo Progresista	Legislador	Steve Guash Montalvo
Añasco	Partido Nuevo Progresista	Legislador	Irene Malavé Ruiz
Añasco	Partido Popular Democrático	Alcalde	Jorge E. Estévez Martínez
Añasco	Partido Popular Democrático	Legislador	Waleska Avilés Medina
Añasco	Partido Popular Democrático	Legislador	Gerardo (Gery) Vega Echevarría
Añasco	Partido Popular Democrático	Legislador	Wilson Ramos Rodríguez
Añasco	Partido Popular Democrático	Legislador	Elsa N. Pérez Román
Añasco	Partido Popular Democrático	Legislador	Américo Sánchez Miranda
Añasco	Partido Popular Democrático	Legislador	William Matías Cortés
Añasco	Partido Popular Democrático	Legislador	María De Los A. Ortiz Sánchez
Añasco	Partido Popular Democrático	Legislador	Emilio Yournet Sánchez
Añasco	Partido Popular Democrático	Legislador	Maribel Estévez Rivera
Añasco	Partido Independentista Puertorriqueño	Alcalde	Daizabeth M. Fred García
Añasco	Partido Independentista Puertorriqueño	Legislador	Jaime Luis Vargas Femández
Añasco	Partido Independentista Puertorriqueño	Legislador	Noraida López Malavé
Añasco	Partido Independentista Puertorriqueño	Legislador	José García Ramírez
Añasco	Partido Independentista Puertorriqueño	Legislador	Evaristo Ujaque Martínez
Añasco	Partido Independentista Puertorriqueño	Legislador	Isabel Ruiz Muñiz
Añasco	Partido Independentista Puertorriqueño	Legislador	Francisco Cortés Vázquez
Añasco	Partido Independentista Puertorriqueño	Legislador	Pedro Soto Cordovez
Añasco	Partido Independentista Puertorriqueño	Legislador	Enrique Durán Barbosa
Añasco	Partido Independentista Puertorriqueño	Legislador	Nydia R. Lugo Ríos
Añasco	Movimiento Victoria Ciudadana	Alcalde	Christian Santiago
Añasco	Movimiento Victoria Ciudadana	Legislador	Roberto L Díaz Díaz
Añasco	Movimiento Victoria Ciudadana	Legislador	Diana E Rosas Morales
Añasco	Movimiento Victoria Ciudadana	Legislador	Carmen M Malavé
Añasco	Movimiento Victoria Ciudadana	Legislador	Héctor J Ortiz Ortiz
Añasco	Movimiento Victoria Ciudadana	Legislador	Elba | Rivera Rodríguez
Barceloneta	Partido Nuevo Progresista	Alcalde	(Nel) Balseiro Ángel
Barceloneta	Partido Nuevo Progresista	Legislador	Iris Magaly Calvente Galíndez
Barceloneta	Partido Nuevo Progresista	Legislador	Rolando Arroyo Meléndez
Barceloneta	Partido Nuevo Progresista	Legislador	Cynthia Vidot
Barceloneta	Partido Nuevo Progresista	Legislador	Luis Cabrera (Mister Cabrera)
Barceloneta	Partido Nuevo Progresista	Legislador	(Waldy) Eduardo Maldonado
Barceloneta	Partido Nuevo Progresista	Legislador	Lourdes M Heyliger
Barceloneta	Partido Nuevo Progresista	Legislador	Eliezer Maisonet Alvarez
Barceloneta	Partido Nuevo Progresista	Legislador	Juan A. Galafá Sierra
Barceloneta	Partido Nuevo Progresista	Legislador	Gladys M Ortiz Ocasio
Barceloneta	Partido Popular Democrático	Alcalde	Wanda (Tata) Soler Rosario
Barceloneta	Partido Popular Democrático	Legislador	Baltazar Sánchez Serrano
Barceloneta	Partido Popular Democrático	Legislador	Félix F. Vargas Polanco
Barceloneta	Partido Popular Democrático	Legislador	Néstor Vargas Feliciano
Barceloneta	Partido Popular Democrático	Legislador	Janet Guzmán Vidot
Barceloneta	Partido Popular Democrático	Legislador	Joseline Rivera Rosario
Barceloneta	Partido Popular Democrático	Legislador	Félix Hiram Ramírez Torres
Barceloneta	Partido Popular Democrático	Legislador	Miguel Ángel Ramos Flores
Barceloneta	Partido Popular Democrático	Legislador	Katherine Quiom Kortright Rivera
Barceloneta	Partido Popular Democrático	Legislador	Madelyn Moyeno Rivera
Barceloneta	Partido Independentista Puertorriqueño	Alcalde	Elvin (El Chepa) Rivera Torres
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Radamés Medina Concepción
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Jesús Manuel Sierra Miranda
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Manuel A. Del Olmo Olmo
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Héctor Aguirre Quijano
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Erik Amador Colón
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Santos Torres Colón
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Jorge A. Rosario Galíndez
Barceloneta	Partido Independentista Puertorriqueño	Legislador	Carla Patricia Matos Olmo
Barceloneta	Partido Independentista Puertorriqueño	Legislador	José Ramos Vallellanes
Barranquitas	Partido Nuevo Progresista	Alcalde	Elliot Colón Blanco
Barranquitas	Partido Nuevo Progresista	Legislador	Jaime Green Maldonado
Barranquitas	Partido Nuevo Progresista	Legislador	Elsa Nydia López Figueroa
Barranquitas	Partido Nuevo Progresista	Legislador	Jonathan Aponte Santini
Barranquitas	Partido Nuevo Progresista	Legislador	Elsa | Avilés Rivera
Barranquitas	Partido Nuevo Progresista	Legislador	Osvaldo Mercado Ortiz
Barranquitas	Partido Nuevo Progresista	Legislador	Carmen G Hernández Díaz
Barranquitas	Partido Nuevo Progresista	Legislador	Carlos R Rivera Rivera
Barranquitas	Partido Nuevo Progresista	Legislador	Luz Celenia Ortiz Ortiz
Barranquitas	Partido Nuevo Progresista	Legislador	Israel Osualdy Malavé Santiago
Barranquitas	Partido Popular Democrático	Alcalde	Luis Daniel Colón Santos
Barranquitas	Partido Popular Democrático	Legislador	Israel Matos Mercado
Barranquitas	Partido Popular Democrático	Legislador	Emma Berrios Beauchamp
Barranquitas	Partido Popular Democrático	Legislador	Cristian Javier Ríos Colón
Barranquitas	Partido Popular Democrático	Legislador	Edmir Marrero Estrada
Barranquitas	Partido Popular Democrático	Legislador	Waldemar Ortiz Colón
Barranquitas	Partido Popular Democrático	Legislador	Luz (Lucy) Rivera
Barranquitas	Partido Popular Democrático	Legislador	Samuel De Jesús Sanabria
Barranquitas	Partido Popular Democrático	Legislador	Joanselle Ortiz Ortiz
Barranquitas	Partido Popular Democrático	Legislador	Carlos E. Marrero Rivera
Barranquitas	Partido Independentista Puertorriqueño	Alcalde	Elsa Berrios López
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Héctor Manuel Santiago Hernández
Barranquitas	Partido Independentista Puertorriqueño	Legislador	María De Los A. Zayas Rodríguez
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Israel Ríos López
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Brunilda Zayas Rodríguez
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Angélica Zayas Maldonado
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Cecile Annette González Gabriel
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Luis Orlando López Zayas
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Víctor Díaz Berrios
Barranquitas	Partido Independentista Puertorriqueño	Legislador	Jorge Luis Colón Rodríguez
Bayamón	Partido Nuevo Progresista	Alcalde	Ramón Luis Rivera Cruz
Bayamón	Partido Nuevo Progresista	Legislador	Manuel J Camacho Córdova
Bayamón	Partido Nuevo Progresista	Legislador	Rolando Meléndez Martínez
Bayamón	Partido Nuevo Progresista	Legislador	Alfonso José Fernández Debs
Bayamón	Partido Nuevo Progresista	Legislador	Magaly Rivera Rivera
Bayamón	Partido Nuevo Progresista	Legislador	José A. Lugo Vega
Bayamón	Partido Nuevo Progresista	Legislador	Magali (Maga) Nieves Montalvo
Bayamón	Partido Nuevo Progresista	Legislador	Ana 1. Colón Rivera
Bayamón	Partido Nuevo Progresista	Legislador	Carmen J Ingles Lucret
Bayamón	Partido Nuevo Progresista	Legislador	Elba (Lulu) Pintado Meléndez
Bayamón	Partido Popular Democrático	Alcalde	Jorge Valldejuli Reyes
Bayamón	Partido Popular Democrático	Legislador	Olga Grajales Meléndez
Bayamón	Partido Popular Democrático	Legislador	Sandra Infanzón Padilla
Bayamón	Partido Popular Democrático	Legislador	Joalice Santiago Rodríguez
Bayamón	Partido Popular Democrático	Legislador	Eric Colón Rodríguez
